protein_id,arm,tier,n_designs,burden_all,burden_tier2,nod_hotspot_q90_mean,d3_hotspot_q90_mean,delta_hotspot_q90_mean,hotspot_q90_improved_designs,nod_hotspot_q95_mean,d3_hotspot_q95_mean,delta_hotspot_q95_mean,hotspot_q95_improved_designs,nod_hotspot_q99_mean,d3_hotspot_q99_mean,delta_hotspot_q99_mean,hotspot_q99_improved_designs,nod_hotspot_max_mean,d3_hotspot_max_mean,delta_hotspot_max_mean,hotspot_max_improved_designs,nod_hotspot_gt0p5_count_mean,d3_hotspot_gt0p5_count_mean,delta_hotspot_gt0p5_count_mean,hotspot_gt0p5_count_improved_designs,nod_hotspot_gt1_count_mean,d3_hotspot_gt1_count_mean,delta_hotspot_gt1_count_mean,hotspot_gt1_count_improved_designs,nod_hotspot_positive_mass_mean,d3_hotspot_positive_mass_mean,delta_hotspot_positive_mass_mean,hotspot_positive_mass_improved_designs,nod_hotspot_excess_mass_gt0p5_mean,d3_hotspot_excess_mass_gt0p5_mean,delta_hotspot_excess_mass_gt0p5_mean,hotspot_excess_mass_gt0p5_improved_designs,nod_positive_mass_top10_fraction_mean,d3_positive_mass_top10_fraction_mean,delta_positive_mass_top10_fraction_mean,positive_mass_top10_fraction_improved_designs,nod_positive_mass_entropy_norm_mean,d3_positive_mass_entropy_norm_mean,delta_positive_mass_entropy_norm_mean,positive_mass_entropy_norm_improved_designs,nod_positive_mass_gini_mean,d3_positive_mass_gini_mean,delta_positive_mass_gini_mean,positive_mass_gini_improved_designs,nod_residue_z_q95_mean,d3_residue_z_q95_mean,delta_residue_z_q95_mean,residue_z_q95_improved_designs,nod_residue_z_max_mean,d3_residue_z_max_mean,delta_residue_z_max_mean,residue_z_max_improved_designs,nod_residue_z_gt1_count_mean,d3_residue_z_gt1_count_mean,delta_residue_z_gt1_count_mean,residue_z_gt1_count_improved_designs,nod_residue_z_gt2_count_mean,d3_residue_z_gt2_count_mean,delta_residue_z_gt2_count_mean,residue_z_gt2_count_improved_designs
5X0O_B,t060,2,8,high,high,3.975537598133087,7.608410811424256,3.6328732132911687,1,5.972304618358612,11.098951944708823,5.126647326350212,2,5.990080649256706,11.2073120957613,5.217231446504593,2,5.990275144577026,11.25570434331894,5.265429198741913,1,73.25,75.75,2.5,3,64.25,64.375,0.125,4,236.23669856786728,416.4882173538208,180.25151878595352,1,196.60156625509262,376.0001209974289,179.39855474233627,1,0.504527844589973,0.5090927181107734,0.004564873520800407,5,0.7902994911453141,0.7804403743738818,-0.009859116771432266,5,0.7248646889304744,0.7444044960199814,0.01953980708950681,3,2.5001230846101117,2.509399890062235,0.009276805452123726,4,2.5098034216469878,2.5534105760649504,0.04360715441796276,4,26.5,30.125,3.625,3,15.0,15.375,0.375,3
6DNB_A,t060,1,8,high,not_tier2,10.080166518688202,9.525043666362762,-0.5551228523254395,4,13.849095702171326,12.96348312497139,-0.8856125771999359,4,15.75132954120636,15.053565883636475,-0.6977636575698853,3,15.76227879524231,15.079658389091492,-0.6826204061508179,3,176.75,155.625,-21.125,5,147.875,137.5,-10.375,6,964.3485669493675,976.1523704528809,11.803803503513336,4,870.159302175045,887.4180748462677,17.258772671222687,4,0.6104635130110158,0.5703003579751043,-0.040163155035911474,5,0.7917898872502724,0.7944447268467147,0.0026548395964422628,4,0.779329932274192,0.7713271968697781,-0.008002735404413902,4,2.5743405444654637,2.4508343938697656,-0.12350615059569803,5,3.040785197180224,2.9532913505107454,-0.08749384666947896,4,53.0,56.5,3.5,4,34.875,36.125,1.25,3
6DNT_A,t060,2,8,high,high,7.022854310274125,8.12649672627449,1.1036424160003653,2,12.041493779420854,13.642372435331344,1.600878655910492,3,12.770594204664231,13.86753793001175,1.0969437253475183,4,13.114805340766907,14.05479621887207,0.9399908781051636,3,126.5,122.75,-3.75,5,104.5,108.375,3.875,4,653.0806407928467,709.7348170280457,56.654176235198975,3,582.7695764303207,640.7190922498703,57.94951581954956,3,0.511692480041316,0.516276991130724,0.004584511089408022,3,0.7981911501054932,0.7961562473108927,-0.002034902794600557,3,0.7526286876103383,0.7574191370929394,0.004790449482601072,3,2.633149614029362,2.82797353907464,0.19482392504527807,4,3.0429083864862845,2.9487057852331024,-0.09420260125318214,4,48.625,46.25,-2.375,5,18.125,20.875,2.75,3
6HGM_A,t060,1,8,high,not_tier2,9.170440912246708,8.444052118062974,-0.7263887941837317,6,13.094539636373533,12.108188813924805,-0.9863508224487266,6,15.407925478219985,13.797024031877516,-1.6109014463424682,6,15.7057204246521,14.085211634635925,-1.6205087900161743,6,139.125,137.875,-1.25,4,124.5,121.0,-3.5,4,827.3550841808319,721.5807377099991,-105.77434647083282,6,753.4621323347092,646.6975935697556,-106.76453876495361,6,0.5118391778805053,0.5354497800723306,0.02361060219182534,4,0.8007756329707103,0.7976402918801843,-0.0031353410905261003,4,0.7527520698346508,0.7568426658760203,0.004090596041369521,4,2.418468280864523,2.5041465949740243,0.08567831410950105,3,3.065780133600753,3.147833549356559,0.08205341575580621,3,47.5,46.875,-0.625,5,19.5,24.0,4.5,3
6HJS_B,t060,2,8,low_or_equal,low_or_equal,8.31200447678566,6.7579505443573,-1.55405393242836,4,12.639555960893631,10.553053632378578,-2.086502328515053,4,12.645001131296159,10.560087862610818,-2.084913268685341,4,12.645018339157104,10.560115933418274,-2.0849024057388306,4,87.125,80.75,-6.375,6,76.125,59.375,-16.75,6,517.1941480636597,416.60977351665497,-100.5843745470047,4,467.8293831348419,369.9133698940277,-97.91601324081421,4,0.5493238975804342,0.5848740164573196,0.03555011887688529,4,0.7734900054773282,0.7608423921353653,-0.012647613341962724,5,0.7680555897580923,0.7837972027624024,0.01574161300431015,4,2.7614516196833065,2.7235292690731634,-0.037922350610143596,5,2.7628683255912456,2.727288491996704,-0.035579833594541754,5,36.625,34.375,-2.25,5,18.5,20.0,1.5,3
6K82_B,t060,2,8,high,high,11.988393950462342,11.766784948110583,-0.2216090023517603,4,15.306770420074457,15.453353935480113,0.14658351540565384,4,15.43403720498085,16.10283713340759,0.6687999284267427,3,15.450325012207031,16.12247383594513,0.6721488237380981,3,115.375,124.25,8.875,3,110.0,109.125,-0.875,5,834.98688185215,842.1186327934265,7.13175094127655,5,772.390350818634,777.8525947332382,5.462243914604187,5,0.49812521989335057,0.5131154362146637,0.014990216321313109,3,0.8027951841110169,0.798574478820071,-0.004220705290945814,5,0.7406977064566597,0.7459009404763086,0.00520323401964895,3,2.5402115063874264,2.5819095479270358,0.0416980415396091,5,2.567359111528117,2.708803798943534,0.14144468741541644,3,46.125,43.625,-2.5,4,23.875,23.0,-0.875,4
6K8P_C,t060,2,8,high,high,8.869726842641825,9.15894646644591,0.2892196238040854,5,16.38581847548484,18.28696316480636,1.9011446893215165,3,17.922575318813323,18.526036729812624,0.6034614109992984,2,18.264114379882812,18.69680643081665,0.4326920509338379,2,124.5,107.625,-16.875,6,102.875,93.875,-9.0,5,720.8634870648384,733.7737310528755,12.91024398803711,2,653.0315572619438,672.2227154374123,19.191158175468445,2,0.6122280766324995,0.6397750301243816,0.02754695349188223,4,0.7726910767890782,0.7589468588918106,-0.013744217897267652,5,0.7858356192132779,0.8024615336880665,0.016625914474788644,4,2.905325540164097,3.2075216595665106,0.30219611940241325,3,3.3386971439398767,3.2821936973362207,-0.05650344660365619,4,34.375,33.5,-0.875,4,19.875,23.25,3.375,1
6NQK_F,t060,2,8,high,high,10.186883127689361,6.885162103176117,-3.301721024513244,6,12.481167131662367,10.372617435455322,-2.1085496962070467,6,12.68076102733612,10.678793183565139,-2.0019678437709807,6,12.85183560848236,10.916524767875671,-1.9353108406066895,6,92.125,74.375,-17.75,8,82.25,68.625,-13.625,5,601.7396483421326,449.04042387008667,-152.6992244720459,6,553.1704906225204,406.4457668066025,-146.72472381591797,6,0.4518550864933309,0.505377467863596,0.053522381370265174,3,0.8016550240047208,0.7779411069423892,-0.0237139170623316,5,0.720834696259599,0.7528958189282421,0.03206112266864314,3,2.266642916994064,2.4568712020921017,0.19022828509803796,2,2.3854582456176807,2.6744071933050377,0.28894894768735724,2,40.375,40.25,-0.125,4,15.125,14.375,-0.75,4
6SNK_A,t060,1,8,high,not_tier2,10.111123156547553,11.660099172592172,1.5489760160446207,5,13.402606928348542,14.191625833511353,0.7890189051628114,5,13.498716307878494,14.191625952720642,0.6929096448421479,5,13.580113291740417,14.191625952720642,0.6115126609802246,5,71.375,78.875,7.5,2,64.125,70.375,6.25,2,496.88776993751526,564.332213640213,67.44444370269775,3,456.60736179351807,522.4964946508408,65.88913285732269,3,0.4942196171007279,0.4794268981507134,-0.014792718950014556,4,0.775815528325775,0.7842315370449973,0.008416008719222226,4,0.7435330211816803,0.7403061325423439,-0.0032268886393364837,4,2.2776097888840505,2.2785988440437883,0.0009890551597377395,5,2.4664249046895086,2.2785988690991226,-0.18782603559038605,6,33.125,33.375,0.25,4,14.375,15.75,1.375,2
6TN1_AAA,t060,1,8,high,not_tier2,8.944756972789767,6.490813016891485,-2.453943955898282,6,12.008642601966853,9.099708831310272,-2.9089337706565805,7,17.238828916549682,15.041146893501281,-2.197682023048401,5,17.293933629989624,15.041150212287903,-2.252783417701721,5,209.25,203.125,-6.125,4,180.375,177.0,-3.375,3,1202.7296014428139,911.5009844303131,-291.22861701250076,6,1090.5491549372673,801.8710581064224,-288.6780968308449,6,0.5463838339032467,0.5899036231533683,0.04351978925012152,4,0.8079462712432914,0.8000612472575717,-0.007885023985719816,4,0.7671297274080603,0.7730558029799217,0.005926075571861478,5,2.1977559256729613,2.134748948517692,-0.06300697715526951,4,3.412423497599735,3.7477565789724445,0.3353330813727093,3,74.0,54.75,-19.25,6,32.25,30.125,-2.125,4
6VJP_B,t060,2,8,low_or_equal,low_or_equal,10.35930979251862,10.519976949691774,0.1606671571731546,4,16.018423318862915,12.995553159713745,-3.0228701591491705,5,16.06069507598877,13.45055718421936,-2.6101378917694116,5,16.09170937538147,13.802358865737915,-2.2893505096435547,5,54.75,59.375,4.625,4,45.75,49.5,3.75,3,384.6053645014763,384.53715550899506,-0.06820899248123169,4,353.9938431382179,352.3727294206619,-1.6211137175559998,4,0.6399173487465747,0.5262532980355805,-0.11366405071099422,6,0.7254711833461458,0.7563801954676577,0.030909012121511856,2,0.7937221119068444,0.761497379432762,-0.03222473247408239,6,2.688111989461343,2.29364352706264,-0.3944684623987038,7,2.702112854377296,2.5764810770245363,-0.12563177735276015,6,20.5,28.25,7.75,2,14.375,11.5,-2.875,5
6Y76_A,t060,1,8,low_or_equal,not_tier2,10.141987979412079,8.708845347166061,-1.4331426322460175,4,12.105470180511475,11.083050519227982,-1.022419661283493,6,12.371928334236145,11.198454594612121,-1.1734737396240233,6,12.54116976261139,11.232064723968506,-1.3091050386428833,6,56.625,59.5,2.875,3,50.25,50.125,-0.125,5,397.8153375387192,350.7645339369774,-47.05080360174179,5,365.1395263671875,317.90070563554764,-47.23882073163986,5,0.5043911949447191,0.5187111299312306,0.014319934986511504,3,0.7652808917312601,0.7694839342648683,0.004203042533608287,5,0.7458191378703622,0.7427003146570852,-0.0031188232132770832,3,2.278763729987321,2.4143373898041007,0.1355736598167796,2,2.4176034456981683,2.51755078899548,0.0999473432973115,2,27.375,24.625,-2.75,5,11.625,16.0,4.375,3
7D66_J,t060,2,8,high,high,5.893470680713654,3.7108866751194016,-2.1825840055942525,5,6.180132421851158,3.9602857947349546,-2.219846627116203,5,6.659954312443734,4.1072086411714555,-2.5527456712722785,6,6.905291140079498,4.20142275094986,-2.7038683891296387,6,51.625,45.375,-6.25,6,47.0,31.75,-15.25,6,191.10126841068268,109.7723519206047,-81.32891649007797,5,164.27318799495697,84.38456493616104,-79.88862305879593,5,0.3889686380205488,0.4414747731725268,0.052506135151978016,2,0.7957568391390266,0.7802566780580349,-0.015500161080991712,6,0.6824319790942592,0.714864540946911,0.032432561852651726,2,1.8572543382033029,2.033469361940709,0.1762150237374061,1,2.1711809716458657,2.1816967254092656,0.010515753763400387,3,20.25,20.125,-0.125,4,2.75,10.0,7.25,1
7PFR_F,t060,2,8,high,high,10.408334827423097,8.111967158317567,-2.2963676691055284,4,14.955771005153645,10.938855671882598,-4.016915333271047,7,15.959193110466003,12.841167171001434,-3.118025939464569,5,15.959193110466003,12.841167688369751,-3.1180254220962524,5,117.625,103.625,-14.0,4,100.875,90.75,-10.125,5,792.4336383938789,569.0898870229721,-223.34375137090683,5,730.1078917384148,510.0581374168396,-220.04975432157516,5,0.4890667408469296,0.5719651636572862,0.08289842281035659,2,0.7979344542117136,0.7723475086432657,-0.025586945568447816,5,0.7473515317772246,0.7816469194463606,0.034295387669135924,2,2.6041174121815693,2.395128667973095,-0.208988744208474,6,2.823961730387367,2.992011542197117,0.16804981180974982,3,50.25,40.625,-9.625,7,18.75,22.25,3.5,2
7S5C_F,t060,2,8,low_or_equal,low_or_equal,3.0444036364555362,1.7869808912277225,-1.2574227452278142,5,3.3349791228771197,1.9619082093238824,-1.3730709135532377,5,3.8493432605266578,2.2815424323081976,-1.5678008282184603,4,4.064856171607971,2.3725950717926025,-1.6922610998153687,4,19.625,16.0,-3.625,4,18.0,12.25,-5.75,5,58.26909178495407,37.51562547683716,-20.753466308116913,5,47.17947128415108,26.975178837776184,-20.204292446374893,5,0.3837605266013198,0.38360258816024717,-0.0001579384410726331,3,0.7450317578677639,0.7639181560857468,0.018886398217982825,2,0.691742694465269,0.6774720087778231,-0.014270685687445911,5,1.4725761861214126,1.3938727407700917,-0.07870344535132073,5,1.8250451599426525,1.8934273982251657,0.06838223828251327,3,15.375,14.25,-1.125,4,0.75,1.0,0.25,1
7W62_A,t060,2,8,low_or_equal,low_or_equal,5.931885558366775,10.274024790525436,4.342139232158661,2,6.190141758322715,10.439101392030716,4.248959633708,2,6.767716580331323,10.737453590631484,3.969737010300161,3,7.185370445251465,10.919937252998352,3.734566807746887,3,49.25,58.0,8.75,3,40.625,55.125,14.5,2,198.74361741542816,324.0439804196358,125.30036300420761,3,170.49143660068512,292.9894397854805,122.49800318479538,3,0.5026510832447103,0.44442992982315965,-0.05822115342155069,4,0.7662608223225319,0.782215366484885,0.015954544162353188,2,0.7325817913513692,0.7160970541002976,-0.016484737251071774,4,2.088796842972452,2.0490058434675014,-0.039790999504951075,4,2.688114571438058,2.1789782123702586,-0.5091363590677991,6,24.125,27.375,3.25,3,11.25,9.875,-1.375,3
8ERB_D,t060,2,8,high,high,8.338819181919101,8.473636561632157,0.13481737971305563,4,10.391748535633088,10.860785260796536,0.4690367251634502,4,14.536939392089845,15.456437329053879,0.919497936964035,5,14.55406391620636,15.473347306251526,0.919283390045166,5,173.125,162.75,-10.375,5,158.375,133.375,-25.0,6,924.0779005885124,941.2189952731133,17.14109468460083,5,829.8452960848808,851.7203350663185,21.875038981437683,5,0.5262459407075436,0.5505605487290193,0.024314608021475705,3,0.8052861048756783,0.791982234948762,-0.01330386992691629,6,0.7588710213960117,0.7788237082400113,0.019952686843999617,2,2.226150500836203,2.1653406590541966,-0.06080984178200574,5,3.147888410481922,3.2126819924091077,0.0647935819271857,5,67.375,67.625,0.25,4,29.75,33.375,3.625,4
9END_A,t060,2,8,high,high,7.790004658699059,7.2741122961044375,-0.5158923625946203,5,10.35889323353767,11.398037606477725,1.039144372940056,2,10.720555596351623,12.398327256441117,1.6777716600894932,2,10.804774761199951,12.398509860038757,1.5937350988388062,2,127.125,124.375,-2.75,4,110.75,104.5,-6.25,5,641.9973945021629,593.2035792469978,-48.7938152551651,4,574.0775728821754,525.2622717022896,-48.815301179885864,4,0.48011344645858045,0.5455066722116311,0.06539322575305069,2,0.8093425390879461,0.7902575381112145,-0.01908500097673163,6,0.7338290133022322,0.7630017658385737,0.029172752536341606,2,2.4521082160897794,2.662282036098664,0.21017382000888474,3,2.5825994485230845,2.9403408932042683,0.35774144468118335,1,52.25,40.0,-12.25,6,24.375,22.5,-1.875,3
9GJ9_C,t060,2,8,low_or_equal,low_or_equal,5.279366958141323,6.123449659347534,0.8440827012062102,3,7.389128732681256,8.233736705780025,0.8446079730987704,3,11.090652475357057,9.642836182117463,-1.4478162932395933,5,11.170232653617859,9.735621452331543,-1.434611201286316,5,143.625,139.5,-4.125,6,114.875,115.5,0.625,4,545.7960799336433,553.327598452568,7.531518518924713,4,463.2894452214241,470.2871253490448,6.997680127620697,4,0.6050577076338568,0.5590045543029643,-0.0460531533308925,5,0.7848669540638036,0.7960393477308236,0.011172393667020108,3,0.7838693031483199,0.7711198211036414,-0.012749482044678545,4,2.3112490941501105,2.5595479275980337,0.24829883344792322,3,3.425789679179787,3.125858566419771,-0.29993111276001616,6,46.125,55.125,9.0,3,27.0,28.125,1.125,3
9YGK_B,t060,2,8,low_or_equal,low_or_equal,7.858796417713165,5.540936231613159,-2.317860186100006,5,16.803574323654175,15.217800378799438,-1.5857739448547363,5,16.997757863998412,15.389335870742798,-1.6084219932556154,5,16.99775803089142,15.389335989952087,-1.608422040939331,5,80.25,89.625,9.375,2,65.5,67.875,2.375,4,598.4854988455772,478.0993406176567,-120.38615822792053,5,549.0607066750526,425.04160326719284,-124.0191034078598,6,0.6975754896918999,0.7229842856623405,0.025408795970440587,4,0.7287514895511351,0.7259431415811635,-0.0028083479699715225,4,0.8255725172902096,0.8326301097472872,0.007057592457077599,4,3.1573250612444648,3.3613434890262726,0.204018427781808,4,3.2067294418477905,3.4063734686519647,0.19964402680417437,3,29.0,27.625,-1.375,5,22.75,21.25,-1.5,4
1EYB_A,t075,1,8,low_or_equal,not_tier2,3.7990484595298764,5.887756371498107,2.088707911968231,2,5.136127829551695,10.242242211103438,5.106114381551744,2,9.811054170131683,14.451582598686219,4.640528428554534,3,9.89381718635559,14.869990229606628,4.976173043251038,2,125.625,132.125,6.5,2,100.375,111.875,11.5,2,462.36911153793335,729.3548138737679,266.9857023358345,2,386.3488790988922,649.0319674611092,262.68308836221695,2,0.6225105855411,0.6274428138550919,0.004932228313991975,4,0.7686155875294791,0.7674339710921692,-0.0011816164373100319,4,0.8050435420819735,0.8056310846218995,0.0005875425399258505,4,1.8417911550679946,2.2451876222333484,0.4033964671653541,1,3.782577241849453,3.7755837928520153,-0.006993448997438201,3,48.125,54.75,6.625,3,23.875,25.0,1.125,5
1LI1_C,t075,1,8,low_or_equal,not_tier2,4.780724477767961,4.420999306440358,-0.3597251713276035,4,6.4234073758125305,7.764616933465005,1.3412095576524734,4,6.756250245571136,7.954952600598336,1.1987023550271982,3,6.983579635620117,8.103968501091003,1.1203888654708862,3,75.5,78.375,2.875,3,60.0,62.25,2.25,3,252.27593272924423,302.75968503952026,50.48375231027603,4,207.5535187125206,258.58720803260803,51.03368932008743,4,0.5620433406681078,0.5671394841114141,0.005096143443306375,4,0.7759292755264956,0.7694483326741342,-0.006480942852361435,4,0.7665838435782127,0.7674358167685462,0.0008519731903335603,4,2.596029922577181,2.588456024726062,-0.007573897851119171,6,2.8116507209476014,2.840919611397978,0.029268890450376395,6,33.0,33.375,0.375,4,20.875,18.875,-2.0,4
1O51_A,t075,2,8,low_or_equal,low_or_equal,8.526016426086427,8.391182935237884,-0.13483349084854135,4,8.909613919258117,8.603084826469422,-0.3065290927886958,5,9.543938241004946,8.95181373357773,-0.5921245074272162,5,9.90088140964508,9.146011292934418,-0.7548701167106628,5,25.125,28.125,3.0,3,21.5,23.0,1.5,3,175.7261821627617,177.72541308403015,1.9992309212684631,2,160.63975793123245,160.26017916202545,-0.37957876920700073,3,0.4990755623601878,0.47675074241394555,-0.022324819946242302,5,0.7160793513423342,0.7362360728336925,0.020156721491358193,3,0.7612016204325995,0.7440283698669683,-0.017173250565631293,5,2.060197823232965,2.0388161684170307,-0.021381654815934265,4,2.550705635335245,2.4528766005048537,-0.09782903483039188,5,16.0,16.5,0.5,3,7.25,7.25,0.0,3
1PXZ_B,t075,2,8,high,high,6.134550243616104,9.612259984016418,3.4777097404003143,0,11.785043209791183,14.016451701521873,2.23140849173069,2,14.974603521823886,16.442977619171145,1.4683740973472588,2,15.765440940856934,17.077896535396576,1.3124555945396423,2,143.125,150.75,7.625,3,129.5,135.5,6.0,3,763.1967834830284,907.6690299510956,144.47224646806717,2,685.376856982708,827.2943698167801,141.9175128340721,2,0.548757921219813,0.5303848278680217,-0.018373093351791242,4,0.7995788138113133,0.8038066072270568,0.00422779341574335,5,0.7571332224838155,0.7536624297340264,-0.00347079274978912,3,2.413717324050565,2.467530917982834,0.05381359393226898,5,3.4591335735438813,3.199933258287505,-0.2592003152563764,7,44.5,51.875,7.375,3,24.0,26.25,2.25,2
1QU9_A,t075,2,8,high,high,8.746158242225647,7.3803869009017955,-1.365771341323851,5,8.747638553380966,7.559869861602783,-1.187768691778183,5,8.762793850898744,7.632163594961166,-1.1306302559375763,5,8.77700561285019,7.669306814670563,-1.1076987981796265,5,49.5,53.25,3.75,2,42.0,45.5,3.5,4,261.1126415133476,253.8684115409851,-7.244229972362518,4,233.71952778100967,225.84226942062378,-7.877258360385895,4,0.4487042907211791,0.39387863891040353,-0.05482565181077562,5,0.7759499697909111,0.788071652268819,0.012121682477907791,5,0.7238871546415871,0.6977185651158384,-0.026168589525748825,4,2.031601863593062,1.8341469691210737,-0.1974548944719883,5,2.041262766746912,1.8822587267840767,-0.1590040399628349,5,20.625,28.25,7.625,2,10.125,5.875,-4.25,5
1TX4_A,t075,1,8,low_or_equal,not_tier2,7.647475570440292,6.928575336933136,-0.7189002335071564,4,11.58411429822445,9.736646324396133,-1.8474679738283157,5,11.63305360376835,9.8217180788517,-1.8113355249166492,5,11.65497750043869,9.82311326265335,-1.8318642377853394,5,62.625,68.375,5.75,3,50.875,60.75,9.875,2,377.12721341848373,351.10408639907837,-26.023127019405365,4,339.58351343870163,312.3262890577316,-27.25722438097,4,0.6127541729736607,0.5564875000865479,-0.05626667288711277,5,0.7366252528939116,0.7600264110747839,0.02340115818087224,3,0.7950074161016454,0.7721326431046854,-0.022874772996959808,5,2.6141109183630644,2.5384679265679426,-0.0756429917951219,5,2.630610259675155,2.5580701361263234,-0.07254012354883141,5,29.125,34.75,5.625,3,17.75,14.125,-3.625,5
1U6T_A,t075,1,8,low_or_equal,not_tier2,4.829574227333069,5.360030651092529,0.5304564237594604,2,4.9815263748168945,5.498112320899963,0.5165859460830688,2,5.370751333236694,5.745887994766235,0.3751366615295413,3,5.662807583808899,5.884043335914612,0.2212357521057129,3,34.25,32.0,-2.25,4,25.875,20.75,-5.125,5,129.30173474550247,119.15409570932388,-10.147639036178589,4,107.75860124826431,97.76606053113937,-9.992540717124939,4,0.48077832100092377,0.5595688874393097,0.07879056643838592,3,0.7614781814240689,0.7278129135591531,-0.03366526786491578,5,0.7323043127656473,0.7670178694406404,0.03471355667499307,3,1.9125858432241456,2.1608703705719097,0.24828452734776427,3,2.961299168423809,2.3825566875861792,-0.5787424808376296,5,24.375,21.625,-2.75,5,7.75,10.875,3.125,4
1UOU_A,t075,1,8,low_or_equal,not_tier2,2.941618096828461,3.276346778869633,0.33472868204117195,4,5.821008780598638,5.6411698848009095,-0.179838895797729,5,7.098428460359574,9.56306933760643,2.4646408772468567,1,7.154418706893921,9.622724056243896,2.4683053493499756,1,142.0,132.75,-9.25,4,110.625,109.625,-1.0,5,437.2568436861038,468.3414663076401,31.084622621536255,3,349.1705894470215,385.42892122268677,36.25833177566528,3,0.5568870637782422,0.6542848251821579,0.09739776140391579,1,0.7976222054494186,0.7740209185110399,-0.023601286938378693,6,0.7701957402720929,0.8038071924452148,0.03361145217312189,2,2.633598598045328,2.0711115960289455,-0.5624870020163828,6,3.3285386811993045,3.7075240752089615,0.3789853940096569,2,61.125,44.625,-16.5,5,30.625,27.25,-3.375,5
1USN_A,t075,2,8,low_or_equal,low_or_equal,7.125605833530424,5.586587786674494,-1.53901804685593,4,8.349243474006652,7.98948700428009,-0.35975646972656317,3,8.76439405441284,8.846302723884577,0.08190866947173836,3,9.206823945045471,9.577952206134796,0.37112826108932495,4,59.875,49.125,-10.75,6,55.375,37.875,-17.5,6,288.3330125808716,212.4341009259224,-75.89891165494919,5,253.78745412826538,180.78006619215012,-73.00738793611526,5,0.4947829401151796,0.6069000340599683,0.1121170939447887,2,0.7710407301360445,0.7410416482089408,-0.029999081927103682,6,0.7466924267619024,0.7816601655112156,0.03496773874931325,2,2.2255381427434875,2.499610988803731,0.27407284606024385,3,2.5596954588838017,3.4259984684263123,0.8663030095425108,1,30.125,21.875,-8.25,5,13.5,13.75,0.25,4
1WZE_B,t075,2,8,high,high,7.86630921363838,8.463268375396797,0.5969591617584161,3,16.75523205995559,17.623745465278617,0.8685134053230319,3,18.46701964378357,19.11494876623154,0.6479291224479671,2,18.501084089279175,19.115843057632446,0.6147589683532715,2,126.125,135.25,9.125,3,105.75,122.375,16.625,1,776.1785672307014,821.0201895236969,44.84162229299545,3,704.0007665753365,747.6901534795761,43.689386904239655,3,0.6425849834857011,0.6162948215146081,-0.02629016197109306,4,0.7659541080582395,0.781574319796345,0.01562021173810546,1,0.7994860474369184,0.7799594466510725,-0.019526600785845866,7,2.9958298610332643,3.1029368926632257,0.10710703162996127,3,3.368732943932114,3.4056604475366195,0.03692750360450592,2,35.625,33.625,-2.0,4,24.0,21.5,-2.5,3
1ZR3_A,t075,1,8,high,not_tier2,7.857563674449921,9.361963391304016,1.5043997168540955,3,12.96813289821148,12.34671564400196,-0.6214172542095184,4,13.384869506955148,12.610129952430725,-0.7747395545244218,4,13.61344701051712,12.778218567371368,-0.835228443145752,4,76.875,73.625,-3.25,4,68.5,62.125,-6.375,4,436.72073262929916,499.50256979465485,62.78183716535568,3,394.7291767001152,458.3922288417816,63.66305214166641,3,0.5364773220385612,0.4747929584118967,-0.06168436362666458,6,0.7818007642570235,0.7879219443994891,0.006121180142465696,4,0.7477904199038303,0.7336556776264969,-0.014134742277333329,5,2.6555169094524977,2.2617173130304957,-0.3937995964220019,6,2.805761684941249,2.495133809567634,-0.31062787537361525,5,26.25,36.0,9.75,2,16.5,10.5,-6.0,6
2ERF_A,t075,1,8,low_or_equal,not_tier2,7.993945574760438,8.214734816551225,0.22078924179078496,3,10.206836366653443,11.376771378517152,1.169935011863708,3,10.772750167846677,11.497795474529266,0.7250453066825878,4,11.339582920074463,11.563337802886963,0.2237548828125,4,77.875,90.375,12.5,2,69.75,77.5,7.75,1,432.2659704685211,483.2676786184311,51.00170814990997,3,387.74325680732727,436.000146150589,48.25688934326172,3,0.4669919748874818,0.476423596478375,0.009431621590893238,3,0.7888780712971228,0.7960939923650389,0.007215921067915895,4,0.7377032515770955,0.7311342758686978,-0.006568975708397623,5,2.2997371392150714,2.3659174629254514,0.06618032371037971,4,2.694440863815408,2.444113155083782,-0.25032770873162585,5,37.25,39.875,2.625,3,15.875,13.25,-2.625,3
2F7A_A,t075,2,8,low_or_equal,low_or_equal,7.22995808124544,6.573692166805278,-0.6562659144401615,5,10.353319084644275,7.50366599559784,-2.849653089046435,7,11.509180387258528,7.711891061663627,-3.7972893255949014,8,11.950361609458923,8.12276840209961,-3.827593207359314,8,84.5,87.75,3.25,4,70.25,65.875,-4.375,5,418.0328623056412,393.57784205675125,-24.455020248889923,4,371.98927569389343,343.9113089442253,-28.07796674966812,4,0.5489829261504481,0.454931112880393,-0.0940518132700551,6,0.7706976322968596,0.7963230553220371,0.025625423025177535,3,0.7716530516348705,0.7280371935267828,-0.04361585810808771,5,2.5540496868393214,2.1605672244818774,-0.393482462357444,6,3.066410631789384,2.3477340462048257,-0.7186765855845578,6,33.0,40.5,7.5,2,17.875,15.25,-2.625,5
